mock_sys_test,Sanity,Verify that Upload of a file works fine,Pass,2020-01-31 16:53:16.540544,PRSUBRAMA-LT
mock_sys_test,Sanity,Verify that list operation of files works fine,Pass,2020-01-31 16:53:48.150440,PRSUBRAMA-LT
mock_sys_test,Sanity,Verify that Download of a file works fine,Pass,2020-01-31 16:53:51.122993,PRSUBRAMA-LT
mock_sys_test,Sanity,Verify that delete operation works fine,Pass,2020-01-31 16:53:56.358624,PRSUBRAMA-LT
mock_sys_test,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-01 20:49:05.040934,PRSUBRAMA-LT
mock_sys_test,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-01 20:49:08.692888,PRSUBRAMA-LT
mock_sys_test,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Pass,2020-02-01 20:49:10.472811,PRSUBRAMA-LT
mock_sys_test,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Pass,2020-02-01 20:49:12.191058,PRSUBRAMA-LT
mock_sys_test,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 07:29:32.690974,SRRAVINDR-LT
mock_sys_test,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 07:29:43.642406,SRRAVINDR-LT
mock_sys_test,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Pass,2020-02-02 07:29:45.180846,SRRAVINDR-LT
mock_sys_test,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Pass,2020-02-02 07:29:46.722472,SRRAVINDR-LT
12PW36_2,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 07:40:13.275818,SRRAVINDR-LT
12PW36_2,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 07:40:14.433313,SRRAVINDR-LT
12PW36_2,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Pass,2020-02-02 07:40:15.687905,SRRAVINDR-LT
12PW36_2,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Pass,2020-02-02 07:40:16.848839,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Delete all the files on the server,Pass,2020-02-02 07:40:29.202978,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the list Files returns no files when there are no files to be displayed,Pass,2020-02-02 07:40:30.323131,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the a file can be uploaded successfully,Pass,2020-02-02 07:40:31.456356,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the uploaded file can be reterived sucessfully - Verify check sum before upload and after reterive,Pass,2020-02-02 07:40:32.823099,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,"Verify that when there are files , the list call displays the files correctly",Pass,2020-02-02 07:40:33.810069,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that a delete operation happens successfully,Pass,2020-02-02 07:40:35.185371,SRRAVINDR-LT
